                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.4293,                 2.9905,                 1.2452,                 0.7199,                0.04916,                0.09685,                 0.0506,                 1.6165,                 3.2871,                 1.1859,              9.555e-07,              9.555e-07,              9.555e-07
                     70,                 1.4401,                 2.9807,                 1.2486,                0.73459,                0.04859,                0.09813,                0.05108,                 1.6166,                  3.288,                 1.1854,              9.542e-07,              9.542e-07,              9.542e-07
                     71,                 1.4225,                 2.9777,                 1.2481,                0.74907,                0.04003,                0.10021,                0.05212,                 1.6163,                 3.2826,                 1.1844,             9.5289e-07,             9.5289e-07,             9.5289e-07
                     72,                 1.4476,                 2.9751,                 1.2557,                0.76146,                0.04143,                0.10252,                0.05309,                 1.6147,                 3.2818,                 1.1835,             9.5156e-07,             9.5156e-07,             9.5156e-07
                     73,                 1.4419,                 2.9688,                 1.2555,                0.74943,                0.04213,                0.10535,                0.05452,                 1.6146,                 3.2776,                 1.1826,             9.5021e-07,             9.5021e-07,             9.5021e-07
                     74,                 1.4488,                 2.9808,                 1.2544,                 0.7479,                0.04167,                0.10553,                0.05487,                 1.6144,                 3.2764,                 1.1822,             9.4884e-07,             9.4884e-07,             9.4884e-07
                     75,                 1.4461,                 2.9718,                 1.2555,                0.74862,                0.04284,                0.10778,                0.05633,                 1.6127,                 3.2741,                 1.1815,             9.4745e-07,             9.4745e-07,             9.4745e-07
                     76,                 1.4442,                 2.9631,                 1.2542,                0.75975,                 0.0422,                0.10918,                 0.0568,                 1.6127,                 3.2713,                 1.1812,             9.4605e-07,             9.4605e-07,             9.4605e-07
                     77,                 1.4229,                 2.9578,                 1.2373,                0.76774,                0.04643,                0.11275,                0.05769,                 1.6115,                 3.2694,                 1.1805,             9.4463e-07,             9.4463e-07,             9.4463e-07
                     78,                 1.4462,                 2.9575,                 1.2548,                0.77177,                0.04775,                 0.1155,                0.05903,                 1.6105,                 3.2674,                 1.1798,             9.4319e-07,             9.4319e-07,             9.4319e-07
                     79,                 1.4346,                 2.9554,                 1.2394,                0.76969,                0.04929,                0.11744,                0.06004,                   1.61,                 3.2645,                 1.1787,             9.4173e-07,             9.4173e-07,             9.4173e-07
                     80,                 1.4346,                 2.9533,                 1.2445,                0.75845,                0.04846,                0.11628,                0.05974,                 1.6101,                  3.264,                 1.1787,             9.4026e-07,             9.4026e-07,             9.4026e-07
                     81,                  1.437,                 2.9462,                 1.2387,                0.75076,                0.04865,                0.11653,                0.05971,                 1.6091,                 3.2615,                  1.178,             9.3877e-07,             9.3877e-07,             9.3877e-07
                     82,                 1.4517,                 2.9455,                 1.2459,                0.75309,                0.04986,                0.11787,                0.06066,                 1.6096,                 3.2612,                 1.1771,             9.3726e-07,             9.3726e-07,             9.3726e-07
                     83,                 1.4534,                 2.9352,                 1.2468,                0.76588,                0.05054,                0.12126,                0.06205,                 1.6095,                 3.2577,                 1.1766,             9.3574e-07,             9.3574e-07,             9.3574e-07
                     84,                 1.4383,                 2.9375,                 1.2442,                0.76869,                0.05134,                0.12196,                0.06259,                 1.6095,                 3.2553,                 1.1762,              9.342e-07,              9.342e-07,              9.342e-07
                     85,                 1.4362,                 2.9338,                 1.2448,                 0.7815,                0.05407,                0.12401,                0.06421,                 1.6086,                 3.2544,                 1.1755,             9.3264e-07,             9.3264e-07,             9.3264e-07
                     86,                 1.4376,                 2.9366,                 1.2382,                0.78249,                0.05407,                0.12431,                0.06448,                 1.6079,                  3.252,                 1.1751,             9.3107e-07,             9.3107e-07,             9.3107e-07
                     87,                 1.4579,                 2.9309,                 1.2468,                0.78101,                0.05259,                0.12493,                0.06408,                 1.6075,                  3.252,                 1.1751,             9.2948e-07,             9.2948e-07,             9.2948e-07
                     88,                 1.4501,                 2.9372,                 1.2389,                0.79585,                0.05475,                0.12557,                0.06476,                 1.6084,                   3.25,                 1.1747,             9.2787e-07,             9.2787e-07,             9.2787e-07
                     89,                 1.4668,                 2.9257,                 1.2474,                0.79161,                0.05602,                0.12754,                0.06567,                 1.6078,                 3.2483,                 1.1741,             9.2624e-07,             9.2624e-07,             9.2624e-07
                     90,                  1.461,                 2.9176,                 1.2515,                0.78489,                0.05894,                0.13086,                0.06723,                 1.6077,                 3.2447,                 1.1735,              9.246e-07,              9.246e-07,              9.246e-07
                     91,                 1.4507,                 2.9101,                 1.2457,                0.78442,                0.05899,                0.13526,                 0.0692,                 1.6073,                 3.2407,                 1.1722,             9.2294e-07,             9.2294e-07,             9.2294e-07
                     92,                 1.4181,                 2.9078,                 1.2326,                 0.7779,                0.05903,                0.13722,                 0.0701,                  1.607,                 3.2372,                 1.1713,             9.2127e-07,             9.2127e-07,             9.2127e-07
                     93,                 1.4407,                 2.8961,                 1.2362,                  0.778,                0.05907,                0.13785,                0.07062,                 1.6068,                 3.2358,                 1.1709,             9.1958e-07,             9.1958e-07,             9.1958e-07
                     94,                 1.4536,                 2.8925,                 1.2407,                0.77509,                 0.0605,                0.14062,                0.07193,                 1.6065,                 3.2324,                   1.17,             9.1787e-07,             9.1787e-07,             9.1787e-07
                     95,                 1.4331,                 2.9058,                 1.2317,                 0.7756,                0.06039,                0.14112,                0.07224,                 1.6056,                 3.2297,                 1.1693,             9.1614e-07,             9.1614e-07,             9.1614e-07
                     96,                  1.445,                 2.8967,                 1.2319,                0.77511,                0.06051,                0.14021,                  0.072,                 1.6056,                 3.2307,                 1.1696,              9.144e-07,              9.144e-07,              9.144e-07
                     97,                 1.4819,                 2.9158,                  1.241,                 0.7839,                0.06114,                0.14133,                0.07232,                 1.6049,                 3.2294,                 1.1694,             9.1265e-07,             9.1265e-07,             9.1265e-07
                     98,                 1.4461,                  2.889,                 1.2323,                0.78588,                0.06186,                0.14383,                0.07401,                 1.6047,                 3.2247,                 1.1684,             9.1088e-07,             9.1088e-07,             9.1088e-07
                     99,                 1.4374,                  2.888,                 1.2247,                 0.7792,                0.06196,                0.14404,                0.07448,                 1.6052,                 3.2266,                 1.1683,             9.0909e-07,             9.0909e-07,             9.0909e-07
                    100,                 1.4355,                 2.8837,                 1.2258,                0.78214,                0.06303,                0.14769,                0.07608,                 1.6057,                 3.2216,                 1.1677,             9.0728e-07,             9.0728e-07,             9.0728e-07
                    101,                  1.458,                 2.8805,                 1.2437,                 0.7872,                0.06495,                0.15002,                0.07729,                 1.6051,                 3.2158,                 1.1668,             9.0546e-07,             9.0546e-07,             9.0546e-07
                    102,                 1.4305,                 2.8731,                   1.23,                0.79076,                0.06635,                0.15167,                0.07818,                 1.6045,                  3.215,                 1.1663,             9.0363e-07,             9.0363e-07,             9.0363e-07
                    103,                 1.4575,                 2.8743,                 1.2376,                0.79057,                0.06627,                0.15176,                0.07864,                  1.605,                 3.2151,                 1.1663,             9.0178e-07,             9.0178e-07,             9.0178e-07
                    104,                 1.4421,                 2.8745,                 1.2295,                0.78721,                0.06755,                0.15072,                0.07851,                 1.6047,                 3.2135,                 1.1661,             8.9991e-07,             8.9991e-07,             8.9991e-07
                    105,                 1.4616,                 2.8821,                 1.2314,                0.78706,                0.07008,                0.15365,                0.08005,                 1.6045,                 3.2098,                 1.1656,             8.9803e-07,             8.9803e-07,             8.9803e-07
                    106,                   1.44,                  2.856,                 1.2275,                0.78802,                0.07049,                0.15647,                0.08149,                 1.6039,                 3.2067,                 1.1648,             8.9613e-07,             8.9613e-07,             8.9613e-07
                    107,                  1.435,                 2.8579,                 1.2291,                0.78654,                0.06987,                0.15721,                0.08184,                 1.6024,                  3.206,                 1.1639,             8.9421e-07,             8.9421e-07,             8.9421e-07
                    108,                 1.4504,                 2.8533,                 1.2438,                0.79003,                0.07134,                0.16116,                0.08335,                 1.6013,                 3.2025,                 1.1631,             8.9228e-07,             8.9228e-07,             8.9228e-07
                    109,                  1.472,                 2.8588,                  1.237,                0.79705,                0.07446,                 0.1633,                0.08412,                 1.6004,                 3.2015,                 1.1622,             8.9034e-07,             8.9034e-07,             8.9034e-07
                    110,                 1.4412,                 2.8466,                 1.2396,                0.80424,                0.07501,                0.16452,                0.08491,                 1.6001,                 3.2003,                  1.162,             8.8838e-07,             8.8838e-07,             8.8838e-07
                    111,                 1.4433,                 2.8253,                 1.2329,                 0.7986,                0.07518,                0.16774,                0.08642,                 1.6008,                 3.1969,                 1.1619,              8.864e-07,              8.864e-07,              8.864e-07
                    112,                 1.4506,                 2.8516,                 1.2213,                0.79972,                0.07571,                0.16877,                0.08702,                 1.5998,                 3.1957,                 1.1611,             8.8441e-07,             8.8441e-07,             8.8441e-07
                    113,                  1.448,                 2.8592,                 1.2277,                0.79958,                0.07565,                0.16933,                0.08744,                  1.599,                 3.1922,                 1.1605,             8.8241e-07,             8.8241e-07,             8.8241e-07
                    114,                 1.4582,                 2.8421,                 1.2245,                0.78707,                0.07528,                 0.1702,                0.08802,                 1.5988,                 3.1942,                 1.1602,             8.8039e-07,             8.8039e-07,             8.8039e-07
                    115,                 1.4567,                 2.8279,                 1.2306,                0.78516,                0.07956,                0.17405,                0.09019,                 1.5993,                 3.1883,                 1.1597,             8.7835e-07,             8.7835e-07,             8.7835e-07
                    116,                 1.4406,                   2.83,                  1.225,                0.78381,                0.07893,                0.17555,                0.09062,                 1.5979,                 3.1856,                  1.159,              8.763e-07,              8.763e-07,              8.763e-07
                    117,                 1.4464,                 2.8365,                 1.2228,                0.78664,                0.08026,                0.17645,                 0.0919,                 1.5973,                 3.1846,                 1.1587,             8.7424e-07,             8.7424e-07,             8.7424e-07
                    118,                 1.4369,                 2.8176,                 1.2244,                0.79521,                0.08181,                0.17834,                0.09208,                 1.5977,                 3.1833,                 1.1581,             8.7216e-07,             8.7216e-07,             8.7216e-07
                    119,                 1.4638,                 2.8297,                 1.2334,                0.79878,                0.08363,                0.17921,                0.09248,                 1.5967,                 3.1796,                 1.1576,             8.7007e-07,             8.7007e-07,             8.7007e-07
                    120,                 1.4531,                 2.8306,                 1.2203,                0.79874,                0.08361,                0.18041,                0.09371,                 1.5961,                 3.1764,                 1.1567,             8.6796e-07,             8.6796e-07,             8.6796e-07
                    121,                 1.4332,                 2.8142,                 1.2189,                0.80337,                0.08638,                0.18157,                0.09441,                 1.5952,                 3.1727,                  1.156,             8.6584e-07,             8.6584e-07,             8.6584e-07
                    122,                 1.4336,                 2.8215,                 1.2191,                0.80842,                0.08594,                0.18217,                0.09504,                 1.5939,                 3.1727,                 1.1559,              8.637e-07,              8.637e-07,              8.637e-07
                    123,                 1.4705,                 2.8286,                 1.2318,                0.79741,                0.08569,                0.18191,                0.09537,                 1.5946,                 3.1726,                 1.1559,             8.6155e-07,             8.6155e-07,             8.6155e-07
                    124,                 1.4675,                 2.8229,                 1.2266,                0.80396,                 0.0864,                 0.1847,                0.09666,                 1.5934,                 3.1712,                 1.1553,             8.5939e-07,             8.5939e-07,             8.5939e-07
                    125,                 1.4337,                 2.8046,                 1.2155,                0.81192,                0.08791,                0.18672,                0.09764,                 1.5929,                 3.1678,                 1.1551,             8.5721e-07,             8.5721e-07,             8.5721e-07
